Codigo,Categoria,Marca,Modelo,Condicao,Testado,Funcionamento,Status,Localizacao,Descricao,Arquivo_padrao
DS041,Beleza e cuidados com a pele,Covitta Beauty,Colágeno hidrolisado 250 g,Novo,Não,"Produto suplementar; conferir lacre, validade e conservação da embalagem.",Disponível,A1,"Colágeno hidrolisado Covitta Beauty com ácido hialurônico e vitamina C, suplemento alimentar em pó de 250 g.",DS041_colageno_hidrolisado_covitta_beauty_com_acido_hialuronico_e_vitamina_c_01.jpg
DS042,Alimentos para pets,Purina Friskies,Sachês Friskies filhotes carne 15 un,Novo,Não,"Produto alimentício para pets; conferir integridade da caixa, validade e conservação.",Disponível,A1,"Pacote com 15 sachês de alimento úmido Purina Friskies para gatos filhotes, sabor carne ao molho, 85 g cada sachê.",DS042_pacote_com_15_saches_de_alimento_umido_purina_friskies_para_gatos_filh_01.jpg
DS043,Livros e religião,Junior Rostirola,Café com Deus Pai,Novo,Não,"Produto físico impresso; conferir capa, miolo, lombada e plástico externo.",Disponível,A1,"Livro Café com Deus Pai, edição nova, porções diárias de amor, de Junior Rostirola.",DS043_livro_cafe_com_deus_pai_edicao_nova_porcoes_diarias_de_amor_de_junior__01.jpg
DS044,Livros e esoterismo,Camelot / Os Três Iniciados,O Caibalion,Novo,Não,"Produto físico impresso; conferir capa, miolo, lombada e plástico externo.",Disponível,A1,"Livro O Caibalion, Os Três Iniciados, estudo da filosofia hermética do Egito antigo e da Grécia.",DS044_livro_o_caibalion_os_tres_iniciados_estudo_da_filosofia_hermetica_do_e_01.jpg
DS045,"Cama, mesa e banho",Não identificada,Jogo de cama solteiro 4 peças,Novo,Não,"Produto têxtil; conferir costura, medidas, zíper e acabamento do kit.",Disponível,A1,"Jogo de cama solteiro com 4 peças em microfibra 100% poliéster, contendo edredom dupla face, lençol de baixo, fronha e porta-travesseiro.",DS045_jogo_de_cama_solteiro_com_4_pecas_em_microfibra_100_poliester_contendo_01.jpg
DS046,Automotivo,SW,Palhetas 22/26 polegadas,Novo,Não,"Produto automotivo; conferir encaixe, borracha e integridade das hastes.",Disponível,A1,"Par de palhetas flexíveis para para-brisa, tamanhos 22 e 26 polegadas, modelos SW1908 e SW1917.",DS046_par_de_palhetas_flexiveis_para_para_brisa_tamanhos_22_e_26_polegadas_m_01.jpg
DS047,Casa e limpeza,Não identificada,Refil mop chenille pack 5,Novo,Não,"Produto de limpeza; conferir encaixe, costura e integridade dos refis.",Disponível,A1,"Refil de mop chenille branco com base plástica preta, pacote com cinco unidades para limpeza e troca.",DS047_refil_de_mop_chenille_branco_com_base_plastica_preta_pacote_com_cinco__01.jpg
DS048,Calçados,Dostin,Hike preto,Novo,Não,"Produto de calçado; conferir numeração, acabamento, sola e costura.",Disponível,A1,"Tênis esportivo preto Dostin Hike, com sola em tom dourado e design casual/treino.",DS048_tenis_esportivo_preto_dostin_hike_com_sola_em_tom_dourado_e_design_cas_01.jpg
DS049,Ferramentas e construção,Não identificada,Arame farpado aço zincado 50 kgf,Novo,Não,"Produto de construção; conferir peso, estado do rolo e integridade do zincado.",Disponível,A1,"Rolo de arame farpado em aço zincado, indicado para cercas e contenção, com resistência de 50 kgf.",DS049_rolo_de_arame_farpado_em_aco_zincado_indicado_para_cercas_e_contencao__01.jpg
DS050,Ferramentas automotivas,Mtx,Macaco hidráulico 2T jacaré,Novo,Não,"Ferramenta automotiva; conferir rodas, alavanca e funcionamento hidráulico antes da publicação.",Disponível,A1,"Macaco hidráulico tipo jacaré Mtx, capacidade de 2 toneladas, para elevação de veículos.",DS050_macaco_hidraulico_tipo_jacare_mtx_capacidade_de_2_toneladas_para_eleva_01.jpg
